deliv_id,fee_id,fee,pref
1,1,1000,1
1,2,1000,2
1,3,1000,3
1,4,1000,4
1,5,1000,5
1,6,1000,6
1,7,1000,7
1,8,1000,8
1,9,1000,9
1,10,1000,10
1,11,1000,11
1,12,1000,12
1,13,1000,13
1,14,1000,14
1,15,1000,15
1,16,1000,16
1,17,1000,17
1,18,1000,18
1,19,1000,19
1,20,1000,20
1,21,1000,21
1,22,1000,22
1,23,1000,23
1,24,1000,24
1,25,1000,25
1,26,1000,26
1,27,1000,27
1,28,1000,28
1,29,1000,29
1,30,1000,30
1,31,1000,31
1,32,1000,32
1,33,1000,33
1,34,1000,34
1,35,1000,35
1,36,1000,36
1,37,1000,37
1,38,1000,38
1,39,1000,39
1,40,1000,40
1,41,1000,41
1,42,1000,42
1,43,1000,43
1,44,1000,44
1,45,1000,45
1,46,1000,46
1,47,1000,47
2,1,0,1
2,2,0,2
2,3,0,3
2,4,0,4
2,5,0,5
2,6,0,6
2,7,0,7
2,8,0,8
2,9,0,9
2,10,0,10
2,11,0,11
2,12,0,12
2,13,0,13
2,14,0,14
2,15,0,15
2,16,0,16
2,17,0,17
2,18,0,18
2,19,0,19
2,20,0,20
2,21,0,21
2,22,0,22
2,23,0,23
2,24,0,24
2,25,0,25
2,26,0,26
2,27,0,27
2,28,0,28
2,29,0,29
2,30,0,30
2,31,0,31
2,32,0,32
2,33,0,33
2,34,0,34
2,35,0,35
2,36,0,36
2,37,0,37
2,38,0,38
2,39,0,39
2,40,0,40
2,41,0,41
2,42,0,42
2,43,0,43
2,44,0,44
2,45,0,45
2,46,0,46
2,47,0,47
