id,name,rank
1000,不明なエラーが発生しました。,0
1001,不正なパラメーターが送信されました。,1
1002,"認証に失敗しました。<br />・仮会員の方は、本会員登録を行ってください<br />・認証キーが正しく設定されているか確認してください",2
1003,"認証に失敗しました。<br />・仮会員の方は、本会員登録を行ってください<br />・認証キーが正しく設定されているか確認してください",3
1004,購入済みの商品はありません。,4
1005,"ダウンロード可能なアップデータはありません。<br />・ステータスが「入金待ち」の可能性があります<br />・インストールされているモジュールが既に最新版の可能性があります。",5
1006,配信サーバーでエラーが発生しました。,6
1007,ダウンロード完了通知に失敗しました。,7
2001,"管理画面の認証に失敗しました。<br />管理画面トップページへ戻り、ログインし直してください。",8
2002,配信サーバーへ接続できません。,9
2003,配信サーバーへ接続できません。,10
2004,配信サーバーでエラーが発生しました。,11
2005,"認証キーが設定されていません。<br />・「認証キー設定」で認証キーを設定してください。",12
2006,不正なアクセスです。,13
2007,不正なパラメーターが送信されました。,14
2008,自動アップデートが無効です,15
2009,"ファイルの書き込みに失敗しました。<br />・書き込み権限が正しく設定されていません。<br />・data/downloads/tmpディレクトリに書き込み権限があるかどうか確認してください",16
2010,"ファイルの書き込みに失敗しました。<br />・「ログ管理」で詳細を確認してください。",17
